target_class,retention_fraction,fold,model,resampling_seed,original_train_rows,resampled_train_rows,validation_rows,original_target_rows,retained_target_rows,dropped_target_rows,target_share_before,target_share_after,retained_target_source_rows_sha256,accuracy,balanced_accuracy,macro_f1,train_rows_adelie,train_rows_chinstrap,train_rows_gentoo,recall_adelie,recall_chinstrap,recall_gentoo
Chinstrap,1.0,1,logistic_regression,30142,275,275,69,55,55,0,0.2,0.2,29b9fb56129df392bdc85500810dcea2016dc9207b3187f25e2b31ce19fba49a,0.942029,0.897436,0.916157,121,55,99,1.0,0.692308,1.0
Chinstrap,1.0,1,knn,30142,275,275,69,55,55,0,0.2,0.2,29b9fb56129df392bdc85500810dcea2016dc9207b3187f25e2b31ce19fba49a,0.942029,0.909744,0.920694,121,55,99,1.0,0.769231,0.96
Chinstrap,0.75,1,logistic_regression,30143,275,261,69,55,41,14,0.2,0.157088,3a1124f174eb91eceecb6d9108dff7702e0c0386167ae9f171b0385c9ba8f62e,0.956522,0.923077,0.939569,121,41,99,1.0,0.769231,1.0
Chinstrap,0.75,1,knn,30143,275,261,69,55,41,14,0.2,0.157088,3a1124f174eb91eceecb6d9108dff7702e0c0386167ae9f171b0385c9ba8f62e,0.942029,0.909744,0.920694,121,41,99,1.0,0.769231,0.96
Chinstrap,0.5,1,logistic_regression,30144,275,248,69,55,28,27,0.2,0.112903,509f6f01575069d5aefc2fd86e6abd5f1800fc672c6d2c98c608bd400b3d4d42,0.942029,0.897436,0.916157,121,28,99,1.0,0.692308,1.0
Chinstrap,0.5,1,knn,30144,275,248,69,55,28,27,0.2,0.112903,509f6f01575069d5aefc2fd86e6abd5f1800fc672c6d2c98c608bd400b3d4d42,0.942029,0.909744,0.920694,121,28,99,1.0,0.769231,0.96
Chinstrap,0.25,1,logistic_regression,30145,275,234,69,55,14,41,0.2,0.059829,3e7c7af9cbb92984b6a3711a0ef4dbc166d91db9136146427d4e5233e6a48f70,0.913043,0.846154,0.864892,121,14,99,1.0,0.538462,1.0
Chinstrap,0.25,1,knn,30145,275,234,69,55,14,41,0.2,0.059829,3e7c7af9cbb92984b6a3711a0ef4dbc166d91db9136146427d4e5233e6a48f70,0.942029,0.897436,0.916157,121,14,99,1.0,0.692308,1.0
Chinstrap,1.0,2,logistic_regression,30242,275,275,69,54,54,0,0.196364,0.196364,7a8f3965a5191ed86a0a7b4a33d30a9195cf122cbf8508ad253b16b202c2a485,0.985507,0.986111,0.981414,121,54,100,1.0,1.0,0.958333
Chinstrap,1.0,2,knn,30242,275,275,69,54,54,0,0.196364,0.196364,7a8f3965a5191ed86a0a7b4a33d30a9195cf122cbf8508ad253b16b202c2a485,0.971014,0.975358,0.970661,121,54,100,0.967742,1.0,0.958333
Chinstrap,0.75,2,logistic_regression,30243,275,261,69,54,40,14,0.196364,0.153257,cee76b2813f071047f5f5722939ed65ed7f558b49694268b7ae78f266a0bf24f,0.971014,0.962302,0.970145,121,40,100,1.0,0.928571,0.958333
Chinstrap,0.75,2,knn,30243,275,261,69,54,40,14,0.196364,0.153257,cee76b2813f071047f5f5722939ed65ed7f558b49694268b7ae78f266a0bf24f,0.985507,0.986111,0.987617,121,40,100,1.0,1.0,0.958333
