experiment,comparison,display_label,model,metric,preferred_direction,reference,condition,reference_mean,reference_std,condition_mean,condition_std,condition_minus_reference_mean,condition_minus_reference_std,preferred_effect_mean,folds,source_artifact,interpretation
model_comparison,logistic_regression_vs_dummy,Logistic vs Dummy,logistic_regression,macro_f1,higher,dummy,logistic_regression,0.204291,0.002081,0.928288,0.041342,0.723996,0.04034,0.723996,5,cross_validation_folds.csv,shared_fold_model_difference
model_comparison,knn_vs_dummy,KNN vs Dummy,knn,macro_f1,higher,dummy,knn,0.204291,0.002081,0.949112,0.017756,0.744821,0.018379,0.744821,5,cross_validation_folds.csv,shared_fold_model_difference
model_comparison,knn_vs_logistic_regression,KNN vs Logistic,knn,macro_f1,higher,logistic_regression,knn,0.928288,0.041342,0.949112,0.017756,0.020824,0.043987,0.020824,5,cross_validation_folds.csv,shared_fold_model_difference
feature_ablation,bill_length_only_vs_both_bill_measurements,Bill length only (Logistic),logistic_regression,macro_f1,higher,both_bill_measurements,bill_length_only,0.928288,0.041342,0.574987,0.012112,-0.3533,0.03491,-0.3533,5,feature_ablation_folds.csv,diagnostic_feature_set_difference_not_causal
feature_ablation,bill_length_only_vs_both_bill_measurements,Bill length only (KNN),knn,macro_f1,higher,both_bill_measurements,bill_length_only,0.949112,0.017756,0.647485,0.072626,-0.301627,0.070846,-0.301627,5,feature_ablation_folds.csv,diagnostic_feature_set_difference_not_causal
feature_ablation,bill_depth_only_vs_both_bill_measurements,Bill depth only (Logistic),logistic_regression,macro_f1,higher,both_bill_measurements,bill_depth_only,0.928288,0.041342,0.5689,0.024325,-0.359387,0.047172,-0.359387,5,feature_ablation_folds.csv,diagnostic_feature_set_difference_not_causal
feature_ablation,bill_depth_only_vs_both_bill_measurements,Bill depth only (KNN),knn,macro_f1,higher,both_bill_measurements,bill_depth_only,0.949112,0.017756,0.664812,0.049604,-0.2843,0.043604,-0.2843,5,feature_ablation_folds.csv,diagnostic_feature_set_difference_not_causal
shuffled_label_control,shuffled_labels_vs_observed_labels,Shuffled labels (Logistic),logistic_regression,macro_f1,higher,observed_labels,shuffled_training_labels,0.928288,0.041342,0.25379,0.052453,-0.674498,0.061678,-0.674498,5,leakage_diagnostic_folds.csv,negative_control_not_model_candidate
shuffled_label_control,shuffled_labels_vs_observed_labels,Shuffled labels (KNN),knn,macro_f1,higher,observed_labels,shuffled_training_labels,0.949112,0.017756,0.297675,0.053507,-0.651437,0.058977,-0.651437,5,leakage_diagnostic_folds.csv,negative_control_not_model_candidate
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid accuracy (Logistic),logistic_regression,accuracy,higher,uncalibrated,sigmoid,0.9448,0.03351,0.936104,0.017244,-0.008696,0.037345,-0.008696,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid log loss (Logistic),logistic_regression,log_loss,lower,uncalibrated,sigmoid,0.138743,0.033994,0.236341,0.034031,0.097598,0.016248,-0.097598,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid multiclass brier (Logistic),logistic_regression,multiclass_brier,lower,uncalibrated,sigmoid,0.072342,0.024263,0.11665,0.019986,0.044308,0.013358,-0.044308,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid top label ece (Logistic),logistic_regression,top_label_ece,lower,uncalibrated,sigmoid,0.063897,0.01555,0.11364,0.030438,0.049743,0.027724,-0.049743,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid accuracy (KNN),knn,accuracy,higher,uncalibrated,sigmoid,0.959292,0.010882,0.965089,0.011692,0.005797,0.0071,0.005797,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid log loss (KNN),knn,log_loss,lower,uncalibrated,sigmoid,0.280329,0.2427,0.132767,0.008504,-0.147563,0.236636,0.147563,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid multiclass brier (KNN),knn,multiclass_brier,lower,uncalibrated,sigmoid,0.056488,0.012726,0.057062,0.009906,0.000574,0.006539,-0.000574,5,probability_calibration_folds.csv,metric_specific_calibration_difference
probability_calibration,sigmoid_vs_uncalibrated,Sigmoid top label ece (KNN),knn,top_label_ece,lower,uncalibrated,sigmoid,0.030205,0.009212,0.071316,0.011877,0.041112,0.017995,-0.041112,5,probability_calibration_folds.csv,metric_specific_calibration_difference
validation_robustness,missing_values_0.5_vs_0,50% missing values (Logistic),logistic_regression,macro_f1,higher,missing_values:0,missing_values:0.5,0.928288,0.041342,0.623804,0.037187,-0.304483,0.058128,-0.304483,5,robustness_folds.csv,synthetic_validation_sensitivity_not_deployment_robustness
