model,calibration,bin,lower_bound,upper_bound,sample_count,mean_confidence,empirical_accuracy,absolute_gap
logistic_regression,uncalibrated,1,0.0,0.1,0,,,
logistic_regression,uncalibrated,2,0.1,0.2,0,,,
logistic_regression,uncalibrated,3,0.2,0.3,0,,,
logistic_regression,uncalibrated,4,0.3,0.4,1,0.351762,1.0,0.648238
logistic_regression,uncalibrated,5,0.4,0.5,1,0.490923,1.0,0.509077
logistic_regression,uncalibrated,6,0.5,0.6,19,0.549406,0.421053,0.128353
logistic_regression,uncalibrated,7,0.6,0.7,12,0.653527,0.583333,0.070193
logistic_regression,uncalibrated,8,0.7,0.8,19,0.761995,0.842105,0.08011
logistic_regression,uncalibrated,9,0.8,0.9,33,0.856946,1.0,0.143054
logistic_regression,uncalibrated,10,0.9,1.0,259,0.976011,1.0,0.023989
logistic_regression,sigmoid,1,0.0,0.1,0,,,
logistic_regression,sigmoid,2,0.1,0.2,0,,,
logistic_regression,sigmoid,3,0.2,0.3,0,,,
logistic_regression,sigmoid,4,0.3,0.4,1,0.399996,1.0,0.600004
logistic_regression,sigmoid,5,0.4,0.5,10,0.477912,0.1,0.377912
logistic_regression,sigmoid,6,0.5,0.6,20,0.540709,0.85,0.309291
logistic_regression,sigmoid,7,0.6,0.7,19,0.661994,0.842105,0.180112
logistic_regression,sigmoid,8,0.7,0.8,38,0.767169,0.868421,0.101253
logistic_regression,sigmoid,9,0.8,0.9,77,0.854891,0.974026,0.119135
logistic_regression,sigmoid,10,0.9,1.0,179,0.952088,1.0,0.047912
knn,uncalibrated,1,0.0,0.1,0,,,
knn,uncalibrated,2,0.1,0.2,0,,,
knn,uncalibrated,3,0.2,0.3,0,,,
knn,uncalibrated,4,0.3,0.4,0,,,
knn,uncalibrated,5,0.4,0.5,2,0.4,0.0,0.4
knn,uncalibrated,6,0.5,0.6,0,,,
knn,uncalibrated,7,0.6,0.7,14,0.6,0.5,0.1
knn,uncalibrated,8,0.7,0.8,0,,,
knn,uncalibrated,9,0.8,0.9,26,0.8,0.884615,0.084615
knn,uncalibrated,10,0.9,1.0,302,1.0,0.993377,0.006623
knn,sigmoid,1,0.0,0.1,0,,,
knn,sigmoid,2,0.1,0.2,0,,,
knn,sigmoid,3,0.2,0.3,0,,,
knn,sigmoid,4,0.3,0.4,0,,,
knn,sigmoid,5,0.4,0.5,2,0.458959,1.0,0.541041
knn,sigmoid,6,0.5,0.6,2,0.552514,1.0,0.447486
knn,sigmoid,7,0.6,0.7,9,0.644561,0.444444,0.200117
knn,sigmoid,8,0.7,0.8,8,0.746709,0.5,0.246709
knn,sigmoid,9,0.8,0.9,16,0.841589,0.875,0.033411
knn,sigmoid,10,0.9,1.0,307,0.950556,0.996743,0.046187
