fold,model,calibration,train_rows,validation_rows,accuracy,log_loss,multiclass_brier,top_label_ece
1,logistic_regression,uncalibrated,275,69,0.942029,0.107186,0.056786,0.05829
1,logistic_regression,sigmoid,275,69,0.927536,0.221367,0.111558,0.060023
1,knn,uncalibrated,275,69,0.942029,0.565444,0.061449,0.043478
1,knn,sigmoid,275,69,0.956522,0.139612,0.061049,0.05277
2,logistic_regression,uncalibrated,275,69,0.985507,0.124977,0.054906,0.07262
2,logistic_regression,sigmoid,275,69,0.913043,0.240886,0.114383,0.151312
2,knn,uncalibrated,275,69,0.971014,0.066646,0.035942,0.028986
2,knn,sigmoid,275,69,0.985507,0.116822,0.037374,0.063968
3,logistic_regression,uncalibrated,275,69,0.956522,0.15076,0.074173,0.068564
3,logistic_regression,sigmoid,275,69,0.956522,0.247628,0.124848,0.129622
3,knn,uncalibrated,275,69,0.956522,0.110654,0.066087,0.02029
3,knn,sigmoid,275,69,0.956522,0.133087,0.062867,0.072824
4,logistic_regression,uncalibrated,275,69,0.884058,0.199518,0.118815,0.08291
4,logistic_regression,sigmoid,275,69,0.927536,0.28796,0.147041,0.120064
4,knn,uncalibrated,275,69,0.971014,0.588246,0.070725,0.037681
4,knn,sigmoid,275,69,0.971014,0.140463,0.063506,0.085472
5,logistic_regression,uncalibrated,276,68,0.955882,0.111274,0.057031,0.037099
5,logistic_regression,sigmoid,276,68,0.955882,0.183865,0.085419,0.107177
5,knn,uncalibrated,276,68,0.955882,0.070656,0.048235,0.020588
5,knn,sigmoid,276,68,0.955882,0.133849,0.060514,0.081547
