perturbation,severity,severity_unit,fold,model,train_rows,validation_rows,perturbation_seed,eligible_cells,affected_cells,affected_fraction,noise_std_bill_length_mm,noise_std_bill_depth_mm,accuracy,balanced_accuracy,macro_f1
missing_values,0.0,fraction_of_observed_validation_cells,1,logistic_regression,275,69,10142,138,0,0.0,,,0.942029,0.897436,0.916157
missing_values,0.1,fraction_of_observed_validation_cells,1,logistic_regression,275,69,10143,138,14,0.101449,,,0.869565,0.821042,0.829234
missing_values,0.25,fraction_of_observed_validation_cells,1,logistic_regression,275,69,10144,138,34,0.246377,,,0.84058,0.839041,0.819022
missing_values,0.5,fraction_of_observed_validation_cells,1,logistic_regression,275,69,10145,138,69,0.5,,,0.652174,0.688933,0.651404
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,1,logistic_regression,275,69,20142,138,0,0.0,0.0,0.0,0.942029,0.897436,0.916157
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,1,logistic_regression,275,69,20143,138,138,1.0,1.370861,0.48543,0.942029,0.909744,0.920694
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,1,logistic_regression,275,69,20144,138,138,1.0,2.741723,0.97086,0.898551,0.862597,0.864632
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,1,logistic_regression,275,69,20145,138,138,1.0,5.483446,1.94172,0.710145,0.665244,0.663656
missing_values,0.0,fraction_of_observed_validation_cells,1,knn,275,69,10142,138,0,0.0,,,0.942029,0.909744,0.920694
missing_values,0.1,fraction_of_observed_validation_cells,1,knn,275,69,10143,138,14,0.101449,,,0.869565,0.83335,0.836334
missing_values,0.25,fraction_of_observed_validation_cells,1,knn,275,69,10144,138,34,0.246377,,,0.811594,0.814955,0.789856
missing_values,0.5,fraction_of_observed_validation_cells,1,knn,275,69,10145,138,69,0.5,,,0.623188,0.682316,0.631761
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,1,knn,275,69,20142,138,0,0.0,0.0,0.0,0.942029,0.909744,0.920694
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,1,knn,275,69,20143,138,138,1.0,1.370861,0.48543,0.942029,0.909744,0.920694
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,1,knn,275,69,20144,138,138,1.0,2.741723,0.97086,0.855072,0.837486,0.825
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,1,knn,275,69,20145,138,138,1.0,5.483446,1.94172,0.710145,0.665244,0.663656
missing_values,0.0,fraction_of_observed_validation_cells,2,logistic_regression,275,69,10242,136,0,0.0,,,0.985507,0.986111,0.981414
missing_values,0.1,fraction_of_observed_validation_cells,2,logistic_regression,275,69,10243,136,14,0.102941,,,0.884058,0.878456,0.87209
missing_values,0.25,fraction_of_observed_validation_cells,2,logistic_regression,275,69,10244,136,34,0.25,,,0.782609,0.793779,0.769912
missing_values,0.5,fraction_of_observed_validation_cells,2,logistic_regression,275,69,10245,136,68,0.5,,,0.608696,0.63236,0.61424
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,2,logistic_regression,275,69,20242,136,0,0.0,0.0,0.0,0.985507,0.986111,0.981414
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,2,logistic_regression,275,69,20243,136,136,1.0,1.376107,0.491915,0.956522,0.948413,0.944241
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,2,logistic_regression,275,69,20244,136,136,1.0,2.752215,0.98383,0.855072,0.814644,0.815434
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,2,logistic_regression,275,69,20245,136,136,1.0,5.504429,1.967661,0.681159,0.676203,0.668046
missing_values,0.0,fraction_of_observed_validation_cells,2,knn,275,69,10242,136,0,0.0,,,0.971014,0.975358,0.970661
missing_values,0.1,fraction_of_observed_validation_cells,2,knn,275,69,10243,136,14,0.102941,,,0.884058,0.891513,0.873737
missing_values,0.25,fraction_of_observed_validation_cells,2,knn,275,69,10244,136,34,0.25,,,0.768116,0.769969,0.757051
missing_values,0.5,fraction_of_observed_validation_cells,2,knn,275,69,10245,136,68,0.5,,,0.710145,0.681516,0.687466
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,2,knn,275,69,20242,136,0,0.0,0.0,0.0,0.971014,0.975358,0.970661
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,2,knn,275,69,20243,136,136,1.0,1.376107,0.491915,0.956522,0.948413,0.949623
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,2,knn,275,69,20244,136,136,1.0,2.752215,0.98383,0.855072,0.827701,0.826618
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,2,knn,275,69,20245,136,136,1.0,5.504429,1.967661,0.681159,0.666283,0.663058
missing_values,0.0,fraction_of_observed_validation_cells,3,logistic_regression,275,69,10342,136,0,0.0,,,0.956522,0.94127,0.94657
missing_values,0.1,fraction_of_observed_validation_cells,3,logistic_regression,275,69,10343,136,14,0.102941,,,0.84058,0.839048,0.82186
missing_values,0.25,fraction_of_observed_validation_cells,3,logistic_regression,275,69,10344,136,34,0.25,,,0.768116,0.760317,0.750487
missing_values,0.5,fraction_of_observed_validation_cells,3,logistic_regression,275,69,10345,136,68,0.5,,,0.666667,0.707302,0.66952
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,3,logistic_regression,275,69,20342,136,0,0.0,0.0,0.0,0.956522,0.94127,0.94657
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,3,logistic_regression,275,69,20343,136,136,1.0,1.335175,0.505346,0.927536,0.906349,0.909513
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,3,logistic_regression,275,69,20344,136,136,1.0,2.670351,1.010692,0.869565,0.870159,0.855323
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,3,logistic_regression,275,69,20345,136,136,1.0,5.340702,2.021384,0.652174,0.605714,0.60465
missing_values,0.0,fraction_of_observed_validation_cells,3,knn,275,69,10342,136,0,0.0,,,0.956522,0.94127,0.94657
missing_values,0.1,fraction_of_observed_validation_cells,3,knn,275,69,10343,136,14,0.102941,,,0.855072,0.841905,0.833311
missing_values,0.25,fraction_of_observed_validation_cells,3,knn,275,69,10344,136,34,0.25,,,0.73913,0.712698,0.709557
missing_values,0.5,fraction_of_observed_validation_cells,3,knn,275,69,10345,136,68,0.5,,,0.623188,0.635873,0.620483
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,3,knn,275,69,20342,136,0,0.0,0.0,0.0,0.956522,0.94127,0.94657
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,3,knn,275,69,20343,136,136,1.0,1.335175,0.505346,0.927536,0.906349,0.909513
gaussian_noise,0.5,training_feature_standard_deviation_multiplier,3,knn,275,69,20344,136,136,1.0,2.670351,1.010692,0.869565,0.85746,0.851155
gaussian_noise,1.0,training_feature_standard_deviation_multiplier,3,knn,275,69,20345,136,136,1.0,5.340702,2.021384,0.637681,0.592381,0.592842
missing_values,0.0,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10442,138,0,0.0,,,0.884058,0.858095,0.856905
missing_values,0.1,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10443,138,14,0.101449,,,0.826087,0.804762,0.797106
missing_values,0.25,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10444,138,34,0.246377,,,0.811594,0.804127,0.78898
missing_values,0.5,fraction_of_observed_validation_cells,4,logistic_regression,275,69,10445,138,69,0.5,,,0.637681,0.653016,0.623066
gaussian_noise,0.0,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20442,138,0,0.0,0.0,0.0,0.884058,0.858095,0.856905
gaussian_noise,0.25,training_feature_standard_deviation_multiplier,4,logistic_regression,275,69,20443,138,138,1.0,1.376288,0.499151,0.898551,0.879683,0.875924
